_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,location.type,location.coordinates[0],location.coordinates[1]
674f97ff3dc8e5d2ac0084d2,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9555586,150.8651092,AmpCharge,Unknown,Unknown,1,Point,150.8651092,-33.9555586
674f98013dc8e5d2ac0087ee,$25 flat rate,1,true,false,false,true,-33.9537519,115.0600736,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),AC (Three-Phase),0,Point,115.0600736,-33.9537519
674f97ff3dc8e5d2ac0085b0,$0.60 per kWh at all times.,4,false,true,true,true,-33.95359045,115.0707911,Chargefox,CCS (Type 2),DC,0,Point,115.0707911,-33.95359045
674f98013dc8e5d2ac0089b2,45c/kwh + 30c,2,false,true,true,true,-33.95358142,115.0708966,Chargefox,Type 2 (Socket Only),AC (Single-Phase),0,Point,115.0708966,-33.95358142
674f97ff3dc8e5d2ac0083e8,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9532239,150.8040539,Unknown,Unknown,Unknown,1,Point,150.8040539,-33.9532239
674f98013dc8e5d2ac008944,Free,4,Unknown,Unknown,Unknown,true,-33.95215972,150.8555898,ChargePoint,Type 1 (J1772),Unknown,0,Point,150.8555898,-33.95215972
674f97ff3dc8e5d2ac0083f5,Unknown,3,Unknown,Unknown,Unknown,Unknown,-33.9511802,115.076035,Tesla Supercharger,Unknown,Unknown,0,Point,115.076035,-33.9511802
674f98013dc8e5d2ac0087b1,Free,3,Unknown,Unknown,Unknown,true,-33.95063254,115.0753751,Tesla (Tesla-only charging),Type 2 (Tethered Connector) ,AC (Three-Phase),0,Point,115.0753751,-33.95063254
674f98013dc8e5d2ac0087b2,Supercharger rates,3,false,true,true,true,-33.95060809,115.0753545,Tesla (including non-tesla),CCS (Type 2),DC,0,Point,115.0753545,-33.95060809
674f97ff3dc8e5d2ac008410,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9492389,151.081218,Jolt,Unknown,Unknown,1,Point,151.081218,-33.9492389
674f97ff3dc8e5d2ac008409,Unknown,2,Unknown,Unknown,Unknown,Unknown,-33.9488297,150.90026,Evie Networks,CHAdeMO,Unknown,0,Point,150.90026,-33.9488297
674f97ff3dc8e5d2ac00841f,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.948437,151.0710625,Jolt,Unknown,Unknown,0,Point,151.0710625,-33.948437
674f97ff3dc8e5d2ac008646,Unknown,2,false,true,true,true,-33.94790638,150.9010541,Evie,CCS (Type 2),DC,0,Point,150.9010541,-33.94790638
674f97ff3dc8e5d2ac0083e2,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9435652,151.2396953,Jolt,Unknown,Unknown,1,Point,151.2396953,-33.9435652
674f98013dc8e5d2ac008884,$0.50 per kWh,1,false,false,false,true,-33.94303012,118.9210741,(Unknown Operator),Type 2 (Tethered Connector) ,AC (Three-Phase),0,Point,118.9210741,-33.94303012
674f97ff3dc8e5d2ac0085f7,DC Charging $0.60 per kWh at all times.,1,Unknown,Unknown,Unknown,true,-33.93987597,118.9207393,WA EV Network (AU),CCS (Type 2),DC,0,Point,118.9207393,-33.93987597
674f97ff3dc8e5d2ac008442,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9388196,151.0177286,BP Pulse,Unknown,Unknown,1,Point,151.0177286,-33.9388196
674f97ff3dc8e5d2ac00866c,$0.45/kWh,2,false,true,true,true,-33.935,151.069205,Chargefox,CCS (Type 2),DC,0,Point,151.069205,-33.935
674f98013dc8e5d2ac0087c0,$0.40/kWh,2,false,true,true,true,-33.93201456,151.0301553,Evie,CCS (Type 2),DC,0,Point,151.0301553,-33.93201456
674f97ff3dc8e5d2ac008392,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9306373,151.2464722,Unknown,Unknown,Unknown,1,Point,151.2464722,-33.9306373
674f97ff3dc8e5d2ac008511,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9296043,150.9553129,AmpCharge,Unknown,Unknown,1,Point,150.9553129,-33.9296043
674f97ff3dc8e5d2ac008350,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9285142,151.186122,"Tesla, Inc.",Unknown,Unknown,1,Point,151.186122,-33.9285142
