name,address,latitude,longitude,score,geometry
ChargeFox,"7-25 Caroline Chisholm Drive, Kyneton, VIC, 3444",-37.254761,144.47032,1.0246660709,POINT (144.47032 -37.254761)
Evie,"124 High Street, Woodend, VIC, 3442",-37.356126,144.528313,1.0246170759,POINT (144.528313 -37.356126)
Exploren,"426 Black Forest Drive, Macedon, VIC, 3440",-37.424244,144.554476,1.0245785713,POINT (144.554476 -37.424244)
EVUp,"Degraves Road, Crowlands, VIC, 3377",-37.124021,143.120564,1.0245666504,POINT (143.120564 -37.124021)
Evie,"30 Smith Street, Macedon, VIC, 3440",-37.423816,144.562305,1.0245217085,POINT (144.562305 -37.423816)
Saascharge,"40 Robertson Street, Gisborne, VIC, 3437",-37.482784,144.585489,1.0244275331,POINT (144.585489 -37.482784)
EVERTY,"Prince St, Gisborne, VIC, 3437",-37.487131,144.587844,1.0244139433,POINT (144.587844 -37.487131)
Evie,"201 Exford Road, Weir Views, VIC, 3338",-37.722813,144.572248,1.0243228674,POINT (144.572248 -37.722813)
Evie,"7 High Street, Harcourt, VIC, 3453",-36.998673,144.26091,1.0243166685,POINT (144.26091 -36.998673)
ChargeFox,"Bridge Road, Cobblebank, VIC, 3338",-37.715307,144.599737,1.0241514444,POINT (144.599737 -37.715307)
Tesla,"Queen St, Ararat, VIC, 3377",-37.283396,142.933892,1.0241514444,POINT (142.933892 -37.283396)
Evie,"15 Collings St, Ararat, VIC, 3377",-37.281976,142.929683,1.0241191387,POINT (142.929683 -37.281976)
EVUp,"Cnr High St, Ararat, VIC, 3377",-37.282308,142.928119,1.0241100788,POINT (142.928119 -37.282308)
NRMA,"Taylor St, Ararat, VIC, 3377",-37.285132,142.926456,1.0241084099,POINT (142.926456 -37.285132)
Tesla,"6 Acacia Avenue, Ararat, VIC, 3377",-37.276701,142.9252,1.0240725279,POINT (142.9252 -37.276701)
Delta Electronics,"20 Willis Street, Winchelsea, VIC, 3241",-38.239645,143.992976,1.0239056349,POINT (143.992976 -38.239645)
Tesla,"470-510 Princes Highway, Geelong, VIC, 3214",-38.065192,144.382451,1.0238958597,POINT (144.382451 -38.065192)
ChargeFox,"1B Willis Street, Winchelsea, VIC, 3241",-38.240421,143.991117,1.0239025354,POINT (143.991117 -38.240421)
AmpCharge,"2931 Princes Highway, Winchelsea, VIC, 3241",-38.245721,143.983611,1.023871541,POINT (143.983611 -38.245721)
Tesla,"29 Princes Highway, Geelong, VIC, 3214",-38.096811,144.355746,1.023816824,POINT (144.355746 -38.096811)
EVUp,"2110 Glenelg Highway, Lake Bolac, VIC, 3351",-37.711748,142.840916,1.0237675905,POINT (142.840916 -37.711748)
ChargeFox,"Weddell Rd, Geelong, VIC, 3215",-38.129341,144.345324,1.023647666,POINT (144.345324 -38.129341)
